DeviceID,Event,EventValue,Date,Date2,DeviceType,DeviceName
31,open,FALSE,6/26/2017 18:53,10.78100694,wireless_sensor,Interior Garage Door
31,open,TRUE,6/26/2017 19:21,10.8006713,wireless_sensor,Interior Garage Door
31,open,FALSE,6/26/2017 19:21,10.80072917,wireless_sensor,Interior Garage Door
102,locked,FALSE,6/26/2017 19:23,10.80166667,door_lock_device,Front Door
32,open,TRUE,6/26/2017 19:23,10.80168981,wireless_sensor,Front Door
32,open,FALSE,6/26/2017 19:23,10.80172454,wireless_sensor,Front Door
32,open,TRUE,6/26/2017 19:35,10.81002315,wireless_sensor,Front Door
102,locked,TRUE,6/26/2017 19:35,10.81006944,door_lock_device,Front Door
32,open,FALSE,6/26/2017 19:35,10.81009259,wireless_sensor,Front Door
31,open,TRUE,6/26/2017 20:00,10.82768519,wireless_sensor,Interior Garage Door
31,open,FALSE,6/26/2017 20:00,10.82787037,wireless_sensor,Interior Garage Door
31,open,TRUE,6/26/2017 20:01,10.82820602,wireless_sensor,Interior Garage Door
31,open,FALSE,6/26/2017 20:01,10.82824074,wireless_sensor,Interior Garage Door
31,open,TRUE,6/26/2017 20:03,10.82958333,wireless_sensor,Interior Garage Door
31,open,FALSE,6/26/2017 20:03,10.82962963,wireless_sensor,Interior Garage Door
31,open,TRUE,6/26/2017 20:15,10.83814815,wireless_sensor,Interior Garage Door
31,open,FALSE,6/26/2017 20:15,10.83822917,wireless_sensor,Interior Garage Door
135,locking,TRUE,6/27/2017 0:36,11.01913194,door_lock_device,Back Door
275,locking,TRUE,6/27/2017 0:36,11.01913194,kwikset_988_door_lock_device,Man Door
102,locking,TRUE,6/27/2017 0:36,11.01914352,door_lock_device,Front Door
275,locking,FALSE,6/27/2017 0:36,11.01925926,kwikset_988_door_lock_device,Man Door
135,locking,FALSE,6/27/2017 0:36,11.01925926,door_lock_device,Back Door
102,locking,FALSE,6/27/2017 0:36,11.01925926,door_lock_device,Front Door
31,open,TRUE,6/27/2017 6:33,11.26724537,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 6:34,11.26771991,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 6:52,11.28052083,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 6:52,11.28065972,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 6:54,11.28146991,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 6:54,11.2815162,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 6:55,11.28217593,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 6:55,11.28226852,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 7:32,11.30792824,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 7:32,11.30797454,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 7:32,11.30829861,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 7:32,11.30833333,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 7:32,11.30844907,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 7:32,11.30849537,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 9:05,11.37248843,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 9:05,11.37252315,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 9:14,11.37908565,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 9:14,11.37916667,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 9:15,11.37939815,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 9:15,11.37965278,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 9:17,11.38081019,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 9:17,11.38084491,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 9:17,11.38090278,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 9:17,11.3809838,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 10:18,11.42311343,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 10:18,11.42313657,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 10:38,11.43728009,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 10:38,11.43752315,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 11:40,11.48048611,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 11:40,11.48061343,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 11:44,11.48303241,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 11:44,11.48309028,wireless_sensor,Interior Garage Door
31,open,TRUE,6/27/2017 11:44,11.48331019,wireless_sensor,Interior Garage Door
31,open,FALSE,6/27/2017 11:44,11.48335648,wireless_sensor,Interior Garage Door
