STATION,MON.DAY,YEAR,SNOW,SNWD,TMAX,TMIN,TOBS
USC00427064,11-6,1981,0,0,66,36,53
USC00427064,11-7,1981,0,0,53,44,52
USC00427064,11-8,1981,0,0,57,37,51
USC00427064,11-9,1981,0,0,61,31,53
USC00427064,11-10,1981,0,0,60,31,53
USC00427064,11-11,1981,0,0,61,30,53
USC00427064,11-12,1981,0,0,65,34,57
USC00427064,11-13,1981,0,0,67,41,58
USC00427064,11-14,1981,0,0,59,50,54
USC00427064,11-15,1981,0,0,60,41,56
USC00427064,11-16,1981,0,0,71,38,61
USC00427064,11-17,1981,0,0,70,41,62
USC00427064,11-18,1981,0,0,62,38,41
USC00427064,11-19,1981,0,0,48,24,42
USC00427064,11-20,1981,0,0,47,26,47
USC00427064,11-21,1981,0,0,49,29,46
USC00427064,11-22,1981,0,0,52,40,44
USC00427064,11-23,1981,0,0,54,37,49
USC00427064,11-24,1981,0,0,63,34,58
USC00427064,11-25,1981,0.5,0,58,30,33
USC00427064,11-26,1981,0,0,40,17,35
USC00427064,11-27,1981,0,0,45,24,41
USC00427064,11-28,1981,0,0,42,27,32
USC00427064,11-29,1981,3,3,32,26,29
USC00427064,11-30,1981,3,6,32,19,30
USC00427064,12-1,1981,1,4,33,18,33
USC00427064,12-2,1981,0,1,48,17,43
USC00427064,12-3,1981,0,0,48,29,43
USC00427064,12-4,1981,0,0,46,28,41
USC00427064,12-5,1981,0,0,55,25,45
USC00427064,12-6,1981,0,0,60,29,51
USC00427064,12-7,1981,0,0,61,32,52
USC00427064,12-8,1981,0,0,58,28,48
USC00427064,12-9,1981,0,0,63,30,54
USC00427064,12-10,1981,0,0,66,42,56
USC00427064,12-11,1981,0,0,56,33,43
USC00427064,12-12,1981,0,0,46,24,43
USC00427064,12-13,1981,0,0,47,35,42
USC00427064,12-14,1981,0,0,50,32,46
USC00427064,12-15,1981,0,0,58,41,42
USC00427064,12-16,1981,0,0,42,26,40
USC00427064,12-17,1981,0,0,44,23,37
USC00427064,12-18,1981,0,0,40,21,36
USC00427064,12-19,1981,0,0,42,33,42
USC00427064,12-20,1981,0,0,59,39,57
USC00427064,12-21,1981,0,0,57,33,34
USC00427064,12-22,1981,1,1,35,26,29
USC00427064,12-23,1981,0,1,30,14,27
